cfn,cln,cstreet,ccity,cst,czip,cem
Kate,Abbott,"110 Main Street",Winooski,VT,05450,KateAbbott@gmail.com
Kile,Aggot,"10 South Evan Road",Manchester,NH,02334,KileAggot@gmail.com
Sebastian,Alias,"25 North Avenue",Rome,NY,03101,SebastianAlias@gmail.com
Caisse,Anna,"9875 East West Street",Providence,RI,04424,CaisseAnna@gmail.com
Zen,Antonitii,"23 Los Alomos Road",Bangor,ME,08888,ZenAntonitii@gmail.com
Joan,Arc,"99 Brilliant Road",Montpelier,VT,11100,JoanArc@gmail.com
Jennifer,Atrast,"14 Highpoint Avenue",Albany,NY,05494,JenniferAtrast@gmail.com
Marc,Bartalone,"89-48 East 72nd Street","New York City",NY,05403,MarcBartalone@gmail.com
Steve,Bates,"100 Unknown Drive",Lesserknown,NH,21350,SteveBates@gmail.com
Jordan,Berkowitz,"987 Forward Avenue",Augusta,ME,11550,JordanBerkowitz@gmail.com
"Taylor C.",Bigam,"12 Lane Road",Colchester,VT,45650,"Taylor C.Bigam@gmail.com"
Big,Bird,"17 Fordham Place",Hempstead,NY,01535,BigBird@gmail.com
Rob,Bob,"10 East willard street",Burlington,VT,04566,RobBob@gmail.com
James,Boiben,"23 South Winner Road","Enosburg Falls",VT,89562,JamesBoiben@gmail.com
Hubert,Bowtie,"16 South Union Road",Halifax,MA,98960,HubertBowtie@gmail.com
John,Brown,"8 North Genius Road",Plymouth,MA,78523,JohnBrown@gmail.com
Easter,Bunny,"88 North Ovitt Road",Lisbon,NH,60061,EasterBunny@gmail.com
Frank,Canovatchel,"23 Pants Rd",Boston,MA,05404,FrankCanovatchel@gmail.com
Santa,Clause,"666 Rocky Rd",DownUnder,HI,78213,SantaClause@gmail.com
Santa,Claws,"23 Whats My Age Again Rd",Johnson,VT,10705,SantaClaws@gmail.com
Luke,Colletti,"509 Woods Hollow Road",Westford,VT,03784,LukeColletti@gmail.com
Alma,Conway,"12 Galaxy Faraway",Outerspace,NY,06453,AlmaConway@gmail.com
